dataset_name,generator,scenario,years,num_people,transaction_rows,daily_rows,missing_log_days,annual_inflation_rate,date_start,date_end,best_supervised_feature_set,best_test_rmse,best_test_mae,best_test_r2,best_cv_rmse_mean,best_baseline_feature_set,best_baseline_test_rmse,selected_k,selected_k_silhouette,selected_k_davies_bouldin,selected_k_calinski_harabasz
baseline_synthetic,baseline,baseline,1,50,51005,18250,0,0.0,2025-01-01,2025-12-31,advanced_behavioral,237.340436,107.226214,0.65538,234.217027,person_weekday_weekend_baseline,375.737615,6,0.580844,0.542442,83.559998
simple_rules_1y,realistic,simple_rules,1,50,42691,17548,101,0.025,2025-01-01,2025-12-31,advanced_behavioral,411.551616,201.0444,0.761655,445.711953,person_weekday_weekend_baseline,831.621795,2,0.363834,0.904611,36.738203
realistic_mixed_1y,realistic,realistic_mixed,1,50,41235,17148,277,0.025,2025-01-01,2025-12-31,advanced_behavioral,1024.757047,249.697253,0.350886,783.198348,person_weekday_weekend_baseline,1264.594797,7,0.363722,0.754,32.334816
realistic_mixed_2y,realistic,realistic_mixed,2,50,81777,34040,594,0.025,2025-01-01,2026-12-31,advanced_behavioral,616.366753,227.49295,0.632515,661.062941,person_weekday_weekend_baseline,1015.052414,2,0.354432,0.899575,29.69774
realistic_mixed_3y,realistic,realistic_mixed,3,50,122322,51177,850,0.025,2025-01-01,2027-12-31,advanced_behavioral,553.558558,213.29153,0.730463,716.960383,person_weekday_weekend_baseline,1062.515903,3,0.370447,1.023242,32.681827
realistic_mixed_5y,realistic,realistic_mixed,5,50,202807,84976,1478,0.025,2025-01-01,2029-12-31,advanced_behavioral,1007.966644,258.270787,0.280122,944.171906,person_weekday_weekend_baseline,1178.864249,4,0.401691,0.624817,37.0568
stress_test_1y,realistic,stress_test,1,50,38141,16299,508,0.025,2025-01-01,2025-12-31,advanced_behavioral,5244.417967,653.149742,-0.054989,3630.969886,person_expanding_mean_baseline,5104.097085,2,0.714454,0.778795,51.70215
