feature_set,num_features,test_rmse,test_mae,test_r2,cv_rmse_mean,cv_rmse_std
advanced_behavioral,87,1915.5291417081094,306.9266221553104,0.13140859317640585,1125.5552321182126,640.671687900523
person_weekday_weekend_baseline,0,2046.940821685621,465.46628157641277,0.00814411199832732,1407.2240267535396,564.1972434388703
person_expanding_mean_baseline,0,2057.09523219654,483.52841381860134,-0.0017210423724258739,1409.7502906320012,564.1957577786029
calendar_lag,28,2074.9454896124817,532.8678178318754,-0.019181156487862117,1395.793181428979,589.5184666961381
calendar_only,27,2078.2778014025857,530.5496164843794,-0.02245734521837428,1398.1027179745304,593.8343489877975
full_behavioral,29,2082.1941470634024,539.4342335388293,-0.02631445158809176,1389.919013224938,571.3294332081434
calendar_rolling,28,2096.980581340447,549.0715243611395,-0.040942688585276166,1387.7926283765712,577.6843212223995
