feature_set,RMSE,best_params,best_rf,features,feature_importance
A,38.66275658792042,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}","RandomForestRegressor(max_depth=20, max_features='sqrt', min_samples_leaf=4,
                      random_state=42)","['DayOfWeek', 'IsWeekend', 'Month', 'Day']",[0.40631952 0.28296545 0.1443955  0.16631953]
B,39.3385956464684,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}","RandomForestRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=8,
                      random_state=42)","['DayOfWeek', 'IsWeekend', 'Month', 'Day', 'Lag1']",[0.40634969 0.31462349 0.06491857 0.07310308 0.14100518]
C,37.275187253048614,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}","RandomForestRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      random_state=42)","['DayOfWeek', 'IsWeekend', 'Month', 'Day', 'Rolling7']",[0.33504271 0.23946563 0.07824146 0.10896939 0.23828081]
D,36.19773875656066,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}","RandomForestRegressor(max_depth=10, max_features='sqrt', min_samples_leaf=4,
                      n_estimators=200, random_state=42)","['DayOfWeek', 'IsWeekend', 'Month', 'Day', 'Lag1', 'Rolling7']",[0.29275436 0.2293792  0.05448895 0.07924681 0.13043235 0.21369833]
